state,district,crop,year,season,area_hectares,production_tonnes,yield_kg_per_hectare,subdivision,year_num,soil_type,compatibility_score,annual_rainfall,monsoon_rainfall,rainfall_deviation_pct,rain_june,rain_july,rain_august,rain_september,normal_annual_rainfall,msp_per_quintal,msp_growth_rate,yield_lag_1,yield_lag_2,yield_lag_3,yield_3yr_avg,yield_trend,yield_volatility,drought_streak,district_crop_avg_yield,risk_level
Maharashtra,MUMBAI,Maize,1997-98,Autumn,3.0,2.0,666.6666666666666,Konkan & Goa,1997,Laterite,0.5,3027.2,2893.3,1.33,757.9,1072.6,847.6,215.2,2987.523076923077,1012.7427597955707,-42.457797738888026,1642.857142857143,1641.4285714285716,1646.1538461538462,1666.6666666666667,-1.638819710883112e-13,532.2232244517477,0,666.6666666666666,Medium Risk
Maharashtra,RAIGAD,Arhar/Tur,1997-98,Kharif,1300.0,600.0,461.5384615384615,Konkan & Goa,1997,Laterite,0.3,3027.2,2893.3,1.33,757.9,1072.6,847.6,215.2,2987.523076923077,3076.9069343065694,-46.949880442990185,589.0317520577719,590.8070298878881,585.78856152513,616.1747539253728,4.725305886618561,140.19865356281127,0,552.9330521651341,High Risk
Maharashtra,RAIGAD,Gram,1997-98,Kharif,2000.0,1200.0,600.0,Konkan & Goa,1997,Laterite,0.25,3027.2,2893.3,1.33,757.9,1072.6,847.6,215.2,2987.523076923077,2566.5233644859813,-47.35336688233885,672.7272727272727,666.6666666666666,658.3747927031509,660.6089468505996,13.692655611635525,90.34183777824515,0,680.2812254361338,High Risk
Maharashtra,RAIGAD,Rice,1997-98,Kharif,123800.0,311900.0,2519.3861066235863,Konkan & Goa,1997,Laterite,0.55,3027.2,2893.3,1.33,757.9,1072.6,847.6,215.2,2987.523076923077,985.6836248012719,-45.692362269902375,1507.8125,1511.228533685601,1508.3220108695652,1505.138571739438,10.1274233896184,253.72090990244016,0,2577.427717935737,Medium Risk
Maharashtra,RAIGAD,Rice,1997-98,Summer,82.0,224.0,2731.707317073171,Konkan & Goa,1997,Laterite,0.55,3027.2,2893.3,1.33,757.9,1072.6,847.6,215.2,2987.523076923077,985.6836248012719,0.0,2519.3861066235863,1511.228533685601,1508.3220108695652,2519.3861066235863,10.1274233896184,253.72090990244016,0,2577.427717935737,Medium Risk
Maharashtra,RATNAGIRI,Arhar/Tur,1997-98,Kharif,500.0,200.0,400.0,Konkan & Goa,1997,Laterite,0.3,3027.2,2893.3,1.33,757.9,1072.6,847.6,215.2,2987.523076923077,3076.9069343065694,-46.949880442990185,589.0317520577719,590.8070298878881,585.78856152513,616.1747539253728,4.725305886618561,140.19865356281127,0,566.2280701754386,High Risk
Maharashtra,RATNAGIRI,Rice,1997-98,Kharif,79200.0,183200.0,2313.131313131313,Konkan & Goa,1997,Laterite,0.55,3027.2,2893.3,1.33,757.9,1072.6,847.6,215.2,2987.523076923077,985.6836248012719,-45.692362269902375,1507.8125,1511.228533685601,1508.3220108695652,1505.138571739438,10.1274233896184,253.72090990244016,0,2681.005004024677,High Risk
Maharashtra,RATNAGIRI,Rice,1997-98,Summer,3.0,8.0,2666.6666666666665,Konkan & Goa,1997,Laterite,0.55,3027.2,2893.3,1.33,757.9,1072.6,847.6,215.2,2987.523076923077,985.6836248012719,0.0,2313.131313131313,1511.228533685601,1508.3220108695652,2313.131313131313,10.1274233896184,253.72090990244016,0,2681.005004024677,Medium Risk
Maharashtra,SINDHUDURG,Rice,1997-98,Kharif,75300.0,196900.0,2614.873837981408,Konkan & Goa,1997,Laterite,0.55,3027.2,2893.3,1.33,757.9,1072.6,847.6,215.2,2987.523076923077,985.6836248012719,-45.692362269902375,1507.8125,1511.228533685601,1508.3220108695652,1505.138571739438,10.1274233896184,253.72090990244016,0,2380.6688571721975,Medium Risk
Maharashtra,SINDHUDURG,Rice,1997-98,Summer,46.0,82.0,1782.6086956521738,Konkan & Goa,1997,Laterite,0.55,3027.2,2893.3,1.33,757.9,1072.6,847.6,215.2,2987.523076923077,985.6836248012719,0.0,2614.873837981408,1511.228533685601,1508.3220108695652,2614.873837981408,10.1274233896184,253.72090990244016,0,2380.6688571721975,High Risk
